Week,Day,           Time,      Activity
1,   Lunes,          9:10 AM,
1,   Martes,        13:05 AM,
1,   Miércoles,      7:00 AM,
1,   Jueves,                ,
1,   Viernes,        7:00 AM,
2,   Lunes,          9:10 AM,
2,   Martes,        13:05 AM,
2,   Miércoles,      7:00 AM,
2,   Jueves,                ,
2,   Viernes,        7:00 AM,
3,   Lunes,          9:10 AM,
3,   Martes,        13:05 AM,
3,   Miércoles,      7:00 AM,
3,   Jueves,                ,
3,   Viernes,        7:00 AM,
4,   Lunes,          9:10 AM,
4,   Martes,        13:05 AM,
4,   Miércoles,      7:00 AM,
4,   Jueves,                ,
4,   Viernes,        7:00 AM,
5,   Lunes,          9:10 AM,
5,   Martes,        13:05 AM,
5,   Miércoles,      7:00 AM,
5,   Jueves,                ,
5,   Viernes,        7:00 AM,
6,   Lunes,          9:10 AM,
6,   Martes,        13:05 AM,
6,   Miércoles,      7:00 AM,
6,   Jueves,                ,
6,   Viernes,        7:00 AM,
7,   Lunes,          9:10 AM,
7,   Martes,        13:05 AM,
7,   Miércoles,      7:00 AM,
7,   Jueves,                ,
7,   Viernes,        7:00 AM,
8,   Lunes,          9:10 AM,
8,   Martes,        13:05 AM,
8,   Miércoles,      7:00 AM,
8,   Jueves,                ,
8,   Viernes,        7:00 AM,
9,   Lunes,          9:10 AM,
9,   Martes,        13:05 AM,
9,   Miércoles,      7:00 AM,
9,   Jueves,                ,
9,   Viernes,        7:00 AM,
10,   Lunes,          9:10 AM,
10,   Martes,        13:05 AM,
10,   Miércoles,      7:00 AM,
10,   Jueves,                ,
10,   Viernes,        7:00 AM,
11,   Lunes,          9:10 AM,
11,   Martes,        13:05 AM,
11,   Miércoles,      7:00 AM,
11,   Jueves,                ,
11,   Viernes,        7:00 AM,
12,   Lunes,          9:10 AM,
12,   Martes,        13:05 AM,
12,   Miércoles,      7:00 AM,
12,   Jueves,                ,
12,   Viernes,        7:00 AM,
13,   Lunes,          9:10 AM,
13,   Martes,        13:05 AM,
13,   Miércoles,      7:00 AM,
13,   Jueves,                ,
13,   Viernes,        7:00 AM,
14,   Lunes,          9:10 AM,
14,   Martes,        13:05 AM,
14,   Miércoles,      7:00 AM,
14,   Jueves,                ,
14,   Viernes,        7:00 AM,
15,   Lunes,          9:10 AM,
15,   Martes,        13:05 AM,
15,   Miércoles,      7:00 AM,
15,   Jueves,                ,
15,   Viernes,        7:00 AM,
16,   Lunes,          9:10 AM,
16,   Martes,        13:05 AM,
16,   Miércoles,      7:00 AM,
16,   Jueves,                ,
16,   Viernes,        7:00 AM,
17,   Lunes,          9:10 AM,
17,   Martes,        13:05 AM,
17,   Miércoles,      7:00 AM,
17,   Jueves,                ,
17,   Viernes,        7:00 AM,
18,   Lunes,          9:10 AM,
18,   Martes,        13:05 AM,
18,   Miércoles,      7:00 AM,
18,   Jueves,                ,
18,   Viernes,        7:00 AM,
19,   Lunes,          9:10 AM,
19,   Martes,        13:05 AM,
19,   Miércoles,      7:00 AM,
19,   Jueves,                ,
19,   Viernes,        7:00 AM,
20,   Lunes,          9:10 AM,
20,   Martes,        13:05 AM,
20,   Miércoles,      7:00 AM,
20,   Jueves,                ,
20,   Viernes,        7:00 AM,
21,   Lunes,          9:10 AM,
21,   Martes,        13:05 AM,
21,   Miércoles,      7:00 AM,
21,   Jueves,                ,
21,   Viernes,        7:00 AM,
22,   Lunes,          9:10 AM,
22,   Martes,        13:05 AM,
22,   Miércoles,      7:00 AM,
22,   Jueves,                ,
22,   Viernes,        7:00 AM,
23,   Lunes,          9:10 AM,
