Week,Day,           Time,      Activity
1,   Lunes,          7:00 AM,  A.1.  Suma de números
1,   Martes,        13:55 AM,  A.2.  Resta de números
1,   Miércoles,      9:10 AM,  A.3.  Multiplicación de números
1,   Jueves,         9:10 AM,  A.4.  División de números
1,   Viernes,       13:05 AM,  A.5.  Resolución de problemas
2,   Lunes,          7:00 AM,  A.6.  Ubicación en la recta numérica
2,   Martes,        13:55 AM,  A.7.  Comparación de negativos      
2,   Miércoles,      9:10 AM,  A.8.  Oraciones con números negativos   
2,   Jueves,         9:10 AM,  A.9.  Determina el signo con sumas y restas      
2,   Viernes,       13:05 AM,  A.10. Determina el signo con multiplicaciones y divisiones     
3,   Lunes,          7:00 AM,  A.11. Comparación de negativos
3,   Martes,        13:55 AM,  A.12. Suma y resta con negativos      
3,   Miércoles,      9:10 AM,     
3,   Jueves,         9:10 AM,  A.13. Multiplicación y división con negativos      
3,   Viernes,       13:05 AM,  A.14. Potencias con números negativos     
4,   Lunes,          7:00 AM,  A.15. Jerarquía de operaciones
4,   Martes,        13:55 AM,  A.16. Comparación de fracciones      
4,   Miércoles,      9:10 AM,  A.17. Fracciones equivalentes   
4,   Jueves,         9:10 AM,  A.18. M.C.D y M.C.M      
4,   Viernes,       13:05 AM,  CTE     
5,   Lunes,          7:00 AM,  A.19. Simplificación de fracciones
5,   Martes,        13:55 AM,  A.20. Resolución de problemas    
5,   Miércoles,      9:10 AM,  A.21. Suma y resta con denominadores iguales 
5,   Jueves,         9:10 AM,  A.22. Suma y resta denominadores diferentes    
5,   Viernes,       13:05 AM,  A.23. Multiplicación de fracciones   
6,   Lunes,          7:00 AM,  A.24. División de fracciones
6,   Martes,        13:55 AM,  A.25. Resolución de problemas    
6,   Miércoles,      9:10 AM,  A.26. Suma de exponentes 
6,   Jueves,         9:10 AM,  A.27. Resta de exponentes    
6,   Viernes,       13:05 AM,  A.28. Multiplicación de exponentes   
7,   Lunes,          7:00 AM,  A.29. División de exponentes
7,   Martes,        13:55 AM,  A.30. Exponentes negativos    
7,   Miércoles,      9:10 AM,  A.31. Completando la sucesión 
7,   Jueves,         9:10 AM,  A.32. Diferencia de una sucesión    
7,   Viernes,       13:05 AM,  A.33. Término general   
8,   Lunes,          7:00 AM,  A.34. Término enésimo
8,   Martes,        13:55 AM,  A.35. Suma de una sucesión aritmética 
8,   Miércoles,      9:10 AM,  REPASO
8,   Jueves,         9:10 AM,  REPASO
8,   Viernes,       13:05 AM,  REPASO               
9,   Lunes,          7:00 AM,  REPASO 
9,   Martes,        13:55 AM,  REPASO    
9,   Miércoles,      9:10 AM,  REPASO 
9,   Jueves,         9:10 AM,  REPASO    
9,   Viernes,       13:05 AM,  CTE   
10,  Lunes,          7:00 AM,  REPASO
10,  Martes,        13:55 AM,  REPASO    
10,  Miércoles,      9:10 AM,  REPASO 
10,  Jueves,         9:10 AM,  REPASO    
10,  Viernes,       13:05 AM,  EXAMEN   
11,  Lunes,          7:00 AM,
11,  Martes,        13:55 AM,      
11,  Miércoles,      9:10 AM,   
11,  Jueves,         9:10 AM,      
11,  Viernes,       13:05 AM,     
12,  Lunes,          7:00 AM,
12,  Martes,        13:55 AM,      
12,  Miércoles,      9:10 AM,   
12,  Jueves,         9:10 AM,      
12,  Viernes,       13:05 AM,     
13,  Lunes,          7:00 AM,
13,  Martes,        13:55 AM,      
13,  Miércoles,      9:10 AM,   
13,  Jueves,         9:10 AM,      
13,  Viernes,       13:05 AM,     
14,  Lunes,          7:00 AM,
14,  Martes,        13:55 AM,      
14,  Miércoles,      9:10 AM,   
14,  Jueves,         9:10 AM,      
14,  Viernes,       13:05 AM,     
15,  Lunes,          7:00 AM,
15,  Martes,        13:55 AM,      
15,  Miércoles,      9:10 AM,   
15,  Jueves,         9:10 AM,      
15,  Viernes,       13:05 AM,     
16,  Lunes,          7:00 AM,
16,  Martes,        13:55 AM,      
16,  Miércoles,      9:10 AM,   
16,  Jueves,         9:10 AM,      
16,  Viernes,       13:05 AM,     
19,  Lunes,          7:00 AM,
19,  Martes,        13:55 AM,      
19,  Miércoles,      9:10 AM,   
19,  Jueves,         9:10 AM,      
19,  Viernes,       13:05 AM,     
20,  Lunes,          7:00 AM,
20,  Martes,        13:55 AM,      
20,  Miércoles,      9:10 AM,   
20,  Jueves,         9:10 AM,      
20,  Viernes,       13:05 AM,     
21,  Lunes,          7:00 AM,
21,  Martes,        13:55 AM,      
21,  Miércoles,      9:10 AM,   
21,  Jueves,         9:10 AM,      
21,  Viernes,       13:05 AM,     
22,  Lunes,          7:00 AM,
22,  Martes,        13:55 AM,      
22,  Miércoles,      9:10 AM,   
22,  Jueves,         9:10 AM,      
22,  Viernes,       13:05 AM,     
23,  Lunes,          7:00 AM,
23,  Martes,        13:55 AM,      
23,  Miércoles,      9:10 AM,   
23,  Jueves,         9:10 AM,      
23,  Viernes,       13:05 AM,     
24,  Lunes,          7:00 AM,
24,  Martes,        13:55 AM,      
24,  Miércoles,      9:10 AM,   
24,  Jueves,         9:10 AM,      
24,  Viernes,       13:05 AM,     
25,  Lunes,          7:00 AM,
25,  Martes,        13:55 AM,      
25,  Miércoles,      9:10 AM,   
25,  Jueves,         9:10 AM,      
25,  Viernes,       13:05 AM,     
26,  Lunes,          7:00 AM,
26,  Martes,        13:55 AM,      
26,  Miércoles,      9:10 AM,   
26,  Jueves,         9:10 AM,      
26,  Viernes,       13:05 AM,     
27,  Lunes,          7:00 AM,
27,  Martes,        13:55 AM,      
27,  Miércoles,      9:10 AM,   
27,  Jueves,         9:10 AM,      
27,  Viernes,       13:05 AM,     
28,  Lunes,          7:00 AM,
28,  Martes,        13:55 AM,      
28,  Miércoles,      9:10 AM,   
28,  Jueves,         9:10 AM,      
28,  Viernes,       13:05 AM,     
29,  Lunes,          7:00 AM,
29,  Martes,        13:55 AM,      
29,  Miércoles,      9:10 AM,   
29,  Jueves,         9:10 AM,      
29,  Viernes,       13:05 AM,     
32,  Lunes,          7:00 AM,
32,  Martes,        13:55 AM,      
32,  Miércoles,      9:10 AM,   
32,  Jueves,         9:10 AM,      
32,  Viernes,       13:05 AM,     
