Week,Day,           Time,      Activity
1,    Lunes,         12:15 PM,
1,    Lunes,         13:55 PM,
1,    Martes,        12:15 PM,
1,    Miércoles,     12:15 PM,
1,    Miércoles,     13:55 PM,
1,    Viernes,       13:55 PM,
2,    Lunes,         12:15 PM,
2,    Lunes,         13:55 PM,
2,    Martes,        12:15 PM,
2,    Miércoles,     12:15 PM,
2,    Miércoles,     13:55 PM,
2,    Viernes,       13:55 PM,
3,    Lunes,         12:15 PM,
3,    Lunes,         13:55 PM,
3,    Martes,        12:15 PM,
3,    Miércoles,     12:15 PM,  No hay clases
3,    Miércoles,     13:55 PM,  No hay clases
3,    Viernes,       13:55 PM,
4,    Lunes,         12:15 PM,
4,    Lunes,         13:55 PM,
4,    Martes,        12:15 PM,
4,    Miércoles,     12:15 PM,
4,    Miércoles,     13:55 PM,
4,    Viernes,       13:55 PM,  CTE
5,    Lunes,         12:15 PM,
5,    Lunes,         13:55 PM,
5,    Martes,        12:15 PM,
5,    Miércoles,     12:15 PM,
5,    Miércoles,     13:55 PM,
5,    Viernes,       13:55 PM,
6,    Lunes,         12:15 PM,
6,    Lunes,         13:55 PM,
6,    Martes,        12:15 PM,
6,    Miércoles,     12:15 PM,
6,    Miércoles,     13:55 PM,
6,    Viernes,       13:55 PM,
7,    Lunes,         12:15 PM,
7,    Lunes,         13:55 PM,
7,    Martes,        12:15 PM,
7,    Miércoles,     12:15 PM,
7,    Miércoles,     13:55 PM,
7,    Viernes,       13:55 PM,
8,    Lunes,         12:15 PM,
8,    Lunes,         13:55 PM,
8,    Martes,        12:15 PM,
8,    Miércoles,     12:15 PM,
8,    Miércoles,     13:55 PM,
8,    Viernes,       13:55 PM,
9,    Lunes,         12:15 PM,
9,    Lunes,         13:55 PM,
9,    Martes,        12:15 PM,
9,    Miércoles,     12:15 PM,
9,    Miércoles,     13:55 PM,
9,    Viernes,       13:55 PM,  CTE
10,   Lunes,         12:15 PM,  No hay clases
10,   Lunes,         13:55 PM,  No hay clases
