Unit,  Week,  Day,           Time,      Key,               Activity,                                          Section
1,     1,     Lunes,          9:10 AM,  ,     Me preparo,  Libro         
1,     1,     Martes,        13:05 AM,  L1,   El espacio geográfico,  Libro Libro
1,     1,     Martes,        13:05 AM,  A.1,  ¿Mi espacio?,  Plataforma
1,     1,     Miércoles,      7:00 AM,  A.2,  El componente que sobresale,  Plataforma
1,     1,     Miércoles,      7:00 AM,  A.3,  Saberes ancestrales,    Plataforma
1,     1,     Viernes,        7:00 AM,  F1,   Los pueblos indígenas,  Cuaderno de evidencias  Cuaderno de evidencias
1,     2,     Lunes,          9:10 AM,  L2,   Categorías de análisis del espacio geográfico, Libro
1,     2,     Martes,        13:05 AM,  A.4,  ¿Qué categoría de análisis usarías?,  Plataforma
1,     2,     Miércoles,      7:00 AM,  L3,   El estudio del espacio geográfico, Libro
1,     2,     Viernes,        7:00 AM,  A.5,  ¿Cuáles son las características del espacio geográfico?,  Plataforma
1,     3,     Lunes,          9:10 AM,  L4,   Representaciones cartográficas, Libro
1,     3,     Martes,        13:05 AM,  A.6,  ¿Croquis planos o mapas?,  Plataforma
1,     3,     Martes,        13:05 AM,  A.7,  Fotografía aérea,  Plataforma
1,     3,     Miércoles,      7:00 AM,  No hay clases
1,     3,     Viernes,        7:00 AM,  L5,   Interpretación y representación de la Información geográfica, Libro
1,     4,     Lunes,          9:10 AM,  A.8,  Representando la realidad,  Plataforma
1,     4,     Lunes,          9:10 AM,  A.9,  ¿Para qué nos sirven los mapas?,  Plataforma
1,     4,     Martes,        13:05 AM,  F2,   ¿Qué muestran los mapas?,  Cuaderno de evidencias
1,     4,     Miércoles,      7:00 AM,  L6,   Tecnologías de la información geográfica, Libro
1,     4,     Viernes,        7:00 AM,  CTE,  CTE,  CTE
1,     5,     Lunes,          9:10 AM,  A.10, ¿GPS O SIG?,  Plataforma
1,     5,     Martes,        13:05 AM,  A.11, ¿A qué sistema pertenece?,  Plataforma
1,     5,     Martes,        13:05 AM,  A.12, ¿Cómo funciona un SIG?,  Plataforma
1,     5,     Martes,        13:05 AM,  A.13, Aprendamos a leer el espacio geográfico,  Plataforma
1,     5,     Miércoles,      7:00 AM,  L7,   Las placas tectónicas (vulcanismo), Libro
1,     5,     Viernes,        7:00 AM,  A.14, ¡Viva! La Tierra viva ,  Plataforma
1,     5,     Viernes,        7:00 AM,  A.15, Sismicidad y vulcanismo,  Plataforma
1,     6,     Lunes,          9:10 AM,  A.16, México se mueve y erupciona,  Plataforma
1,     6,     Martes,        13:05 AM,  F3,   Un paso adelante,  Cuaderno de evidencias
1,     6,     Martes,        13:05 AM,  L8,   Las placas tectónicas (relieve), Libro
1,     6,     Miércoles,      7:00 AM,  A.17, De las montañas a las depresiones,  Plataforma
1,     6,     Miércoles,      7:00 AM,  A.18, Relieves mexicanos,  Plataforma
1,     6,     Viernes,        7:00 AM,  A.19, Procesos externos de la Tierra,  Plataforma
1,     7,     Lunes,          9:10 AM,  L9,   El suelo y su importancia, Libro
1,     7,     Martes,        13:05 AM,  A.20, Exploremos el suelo,  Plataforma
1,     7,     Miércoles,      7:00 AM,  L10,  Aguas continentales en México y el mundo, Libro
1,     7,     Viernes,        7:00 AM,  F4,   Planta sobre planta,  Cuaderno de evidencias
1,     8,     Lunes,          9:10 AM,  A.21, Agua que has de tener,  Plataforma
1,     8,     Martes,        13:05 AM,  F5,   Cuencas y disponibilidad de agua limpia,  Cuaderno de evidencias
1,     8,     Martes,        13:05 AM,  L11,  Las cuencas hidrográficas, Libro
1,     8,     Miércoles,      7:00 AM,  A.22, Cuando el río suena agua lleva,  Plataforma
1,     8,     Miércoles,      7:00 AM,  A.23, Cuencas hídricas en el mundo,  Plataforma
1,     8,     Miércoles,      7:00 AM,  A.24, Cuencas hídricas y economía,  Plataforma
1,     8,     Viernes,        7:00 AM,  F6,   Océanos en peligro ¡Paremos la contaminación!,  Cuaderno de evidencias
1,     9,     Lunes,          9:10 AM,  L12,  Aguas oceánicas, Libro
1,     9,     Martes,        13:05 AM,  A.25, Agua va agua viene,  Plataforma
1,     9,     Martes,        13:05 AM,  A.26, Tomemos conciencia,  Plataforma
1,     9,     Miércoles,      7:00 AM,  ,     Qué aprendí
1,     9,     Viernes,        7:00 AM,  CTE,  CTE,  CTE
1,     10,    Lunes,          9:10 AM,  No hay clases
1,     10,    Martes,        13:05 AM,  REPASO,REPASO,REPASO
1,     10,    Miércoles,      7:00 AM,  EXAMEN,EXAMEN,EXAMEN
1,     10,    Viernes,        7:00 AM,  
