Unit,  Week,  Day,           Time,         Key,               Activity,                                          Section
3,     32,    Lunes,          9:10 AM,    L1,      Minería e Industria,  Libro
3,     32,    Martes,        13:05 AM,    A.1,     ¿Qué necesita la industria?,  Plataforma                          
3,     32,    Martes,        13:05 AM,    A.2,     Tipos de industria,  Plataforma                                  
3,     32,    Martes,        13:05 AM,    A.3,     ¿Dónde se instala la industria?,  Plataforma                      
3,     32,    Miércoles,      7:00 AM,    F16,     Construyendo el mañana: Innova crea y construye,  Cuaderno de evidencias
3,     32,    Viernes,        7:00 AM,    L2,      Turismo,  Libro
3,     33,    Lunes,          9:10 AM,    A.4,     ¡Vámonos de vacaciones!,  Plataforma                             
3,     33,    Lunes,          9:10 AM,    A.5,     Turismo en el mundo,  Plataforma                                 
3,     33,    Martes,        13:05 AM,    L3,      Comercio y transporte,  Libro
3,     33,    Miércoles,      7:00 AM,    A.6,     ¿Cómo trasladan lo que compramos?,  Plataforma                   
3,     33,    Miércoles,      7:00 AM,    A.7,     ¿Con quién comercia México?,  Plataforma    
3,     33,    Viernes,        7:00 AM,    L4,      Índices de bienestar,  Libro
3,     34,    Lunes,          9:10 AM,    A.8,     El Índice de Desarrollo Humano,  Plataforma
3,     34,    Martes,        13:05 AM,    A.9,     Una vida mejor,  Plataforma    
3,     34,    Martes,        13:05 AM,    F17,     ¿El pobre es pobre porque quiere?,  Cuaderno de evidencias
3,     34,    Miércoles,      7:00 AM,    L5,      Desigualdad socioeconómica,  Libro
3,     34,    Viernes,        7:00 AM,    A.10,    Países ricos y países pobres en un mundo globalizado,  Plataforma 
3,     35,    Lunes,          9:10 AM,    A.11,    Las diferencias socioeconómicas en el mundo,  Plataforma 
3,     35,    Lunes,          9:10 AM,    A.12,    Desigualdad y sus consecuencias,  Plataforma 
3,     35,    Lunes,          9:10 AM,    F18,     Un mundo desigual,  Cuaderno de evidencias
3,     35,    Martes,        13:05 AM,    L6,      Problemáticas sociales y ambientales,  Libro
3,     35,    Miércoles,      7:00 AM,    CTE, CTE, CTE
3,     35,    Viernes,        7:00 AM,    A.13,    ¿Cómo modifico el ambiente?,  Plataforma     
3,     35,    Viernes,        7:00 AM,    A.14,    ¿Qué problemas hay?,  Plataforma     
3,     35,    Viernes,        7:00 AM,    A.15,    Problemas en la comunidad,  Plataforma    
3,     35,    Viernes,        7:00 AM,    A.16,    Huella ecológica,  Plataforma    
3,     35,    Viernes,        7:00 AM,    A.17,    Calidad de vida,  Plataforma    
3,     36,    Lunes,          9:10 AM,    L7,      Prácticas de producción distribución y consumo sustentables,  Libro
3,     36,    Martes,        13:05 AM,    A.18,    Estrategias para cuidar el ambiente,  Plataforma 
3,     36,    Martes,        13:05 AM,    A.19,    Sustentabilidad ambiental sustento de vida,  Plataforma 
3,     36,    Martes,        13:05 AM,    A.20,    Consumo responsable,  Plataforma
3,     36,    Miércoles,      7:00 AM,    No hay clases
3,     36,    Viernes,        7:00 AM,    F19,     Piensa antes de comprar,  Cuaderno de evidencias
3,     37,    Lunes,          9:10 AM,    L8,      Prácticas sustentables en mi comunidad y en México,  Libro
3,     37,    Martes,        13:05 AM,    A.21,    Desarrollo de un consumo sustentable,  Plataforma
3,     37,    Martes,        13:05 AM,    A.22,    Servicios ambientales,  Plataforma   
3,     37,    Miércoles,      7:00 AM,    F20,     Energía geotérmica: un beneficio del vulcanismo,  Cuaderno de evidencias
3,     37,    Viernes,        7:00 AM,    L9,      Alternativas sustentables de desarrollo social,  Libro
3,     38,    Lunes,          9:10 AM,    A.23,    Políticas para conseguir el desarrollo social,  Plataforma   
3,     38,    Martes,        13:05 AM,    A.24,    Agricultura sostenible,  Plataforma
3,     38,    Miércoles,      7:00 AM,    A.25,    Necesidades y aspiraciones,  Plataforma
3,     38,    Viernes,        7:00 AM,    L10,     Protección del suelo,  Libro
3,     39,    Lunes,          9:10 AM,    A.26,    Recuperemos el suelo,  Plataforma
3,     39,    Martes,        13:05 AM,    A.27,    Medidas de protección,  Plataforma
3,     39,    Miércoles,      7:00 AM,    A.28,    Medidas de recuperación,  Plataforma     
3,     39,    Viernes,        7:00 AM,    CTE, CTE, CTE
3,     40,    Lunes,          9:10 AM,    REPASO,REPASO,REPASO
3,     40,    Martes,        13:05 AM,    REPASO,REPASO,REPASO
3,     40,    Miércoles,      7:00 AM,    REPASO,REPASO,REPASO
3,     40,    Viernes,        7:00 AM,    ,        Qué aprendí 
3,     41,    Lunes,          9:10 AM,    REPASO,REPASO,REPASO
3,     41,    Martes,        13:05 AM,    EXAMEN,EXAMEN,EXAMEN
3,     41,    Miércoles,      7:00 AM,
3,     41,    Viernes,        7:00 AM,
