Week,Day,           Time,      Activity
1,   Lunes,         10:00 AM,  A.1. Suma de números  
1,   Martes,        10:00 AM,  A.2. Resta de números      
1,   Miércoles,     10:00 AM,  A.3. Multiplicación de números   
1,   Jueves,        10:00 AM,  A.4. División de números      
1,   Viernes,       10:00 AM,  A.5. Resolución de problemas     
2,   Lunes,         10:00 AM,  A.6. Suma y resta con denominadores iguales  
2,   Martes,        10:00 AM,  A.7. Suma y resta denominadores diferentes      
2,   Miércoles,     10:00 AM,  A.8. Multiplicación de fracciones   
2,   Jueves,        10:00 AM,  A.9. División de fracciones      
2,   Viernes,       10:00 AM,  A.10. Resolución de problemas.    
3,   Lunes,         10:00 AM,  A.11. Ubicación en la recta numérica. 
3,   Martes,        10:00 AM,  A.12. Comparación de negativos.    
3,   Miércoles,     10:00 AM,   
3,   Jueves,        10:00 AM,  A.13. Oraciones con números negativos    
3,   Viernes,       10:00 AM,  A.14. Determina el signo con sumas y restas   
4,   Lunes,         10:00 AM,  A.15. Determina el signo con multiplicaciones y divisiones
4,   Martes,        10:00 AM,  A.16. Comparación de negativos    
4,   Miércoles,     10:00 AM,  A.17. Suma y resta con negativos
4,   Jueves,        10:00 AM,  A.18. Multiplicación y división con negativos   
4,   Viernes,       10:00 AM,  CTE   
5,   Lunes,         10:00 AM,  A.19. Potencias con números negativos
5,   Martes,        10:00 AM,  A.20. Jerarquía de operaciones    
5,   Miércoles,     10:00 AM,  A.21. Porcentajes a decimal 
5,   Jueves,        10:00 AM,  A.22. Decimal a porcentaje    
5,   Viernes,       10:00 AM,  A.23. Porcentaje de cantidades 1   
6,   Lunes,         10:00 AM,  A.24. Porcentaje de cantidades 2
6,   Martes,        10:00 AM,  A.25. Resolución de problemas   
6,   Miércoles,     10:00 AM,  A.26. Suma de exponentes 
6,   Jueves,        10:00 AM,  A.27. Resta de exponentes    
6,   Viernes,       10:00 AM,  A.28. Multiplicación de exponentes   
7,   Lunes,         10:00 AM,  A.29. Notación científica 1
7,   Martes,        10:00 AM,  A.30. Notación científica 2    
7,   Miércoles,     10:00 AM,  A.31. Ubicación en el plano cartesiano 
7,   Jueves,        10:00 AM,  A.32. Cuadrantes en el plano cartesiano    
7,   Viernes,       10:00 AM,  A.33. Pendiente de una recta   
8,   Lunes,         10:00 AM,  A.34. Pendiente y ordenada
8,   Martes,        10:00 AM,  A.35. Ecuación de una recta    
8,   Miércoles,     10:00 AM,  REPASO
8,   Jueves,        10:00 AM,  REPASO   
8,   Viernes,       10:00 AM,  REPASO  
9,   Lunes,         10:00 AM,  REPASO
9,   Martes,        10:00 AM,  REPASO   
9,   Miércoles,     10:00 AM,  REPASO
9,   Jueves,        10:00 AM,  REPASO   
9,   Viernes,       10:00 AM,  CTE  
10,  Lunes,         10:00 AM,  No hay clases
10,  Martes,        10:00 AM,  REPASO   
10,  Miércoles,     10:00 AM,  REPASO
10,  Jueves,        10:00 AM,  REPASO   
10,  Viernes,       10:00 AM,  EXAMEN  
11,  Lunes,         10:00 AM,   
11,  Martes,        10:00 AM,      
11,  Miércoles,     10:00 AM,   
11,  Jueves,        10:00 AM,      
11,  Viernes,       10:00 AM,     
12,  Lunes,         10:00 AM,   
12,  Martes,        10:00 AM,      
12,  Miércoles,     10:00 AM,   
12,  Jueves,        10:00 AM,      
12,  Viernes,       10:00 AM,     
13,  Lunes,         10:00 AM,   
