Unit,  Week,Day,           Time, Key,     Activity,                                          Section
1,     1,    Lunes,         12:15 PM,  Me preparo
1,     1,    Lunes,         13:55 PM,  L.1,  Conocimiento empírico,   Libro
1,     1,    Martes,        12:15 PM,  A.1,  Conocimiento empírico, Plataforma
1,     1,    Miércoles,     12:15 PM,  A.2,  Tipos de conocimientos, Plataforma
1,     1,    Miércoles,     13:55 PM,  A.3,  Otras formas de conocimiento, Plataforma
1,     1,    Viernes,       13:55 PM,  L.2,  El conocimiento científico,   Libro
1,     2,    Lunes,         12:15 PM,  A.4,  ¿Qué es la ciencia?, Plataforma
1,     2,    Lunes,         13:55 PM,  A.5,  Método científico, Plataforma
1,     2,    Martes,        12:15 PM,  F.1,  Siete razones para dedicarse a la ciencia, Cuaderno de evidencias
1,     2,    Miércoles,     12:15 PM,  L.3,  Física y sociedad,   Libro
1,     2,    Miércoles,     13:55 PM,  A.6,  ¿Qué es la Física?, Plataforma
1,     2,    Viernes,       13:55 PM,  A.7,  División de la Física, Plataforma
1,     3,    Lunes,         12:15 PM,  F.2,  Ciencia para todos, Cuaderno de evidencias
1,     3,    Lunes,         13:55 PM,  L.4,  Mediciones,   Libro
1,     3,    Martes,        12:15 PM,  A.8,  Mediciones, Plataforma
1,     3,    Miércoles,     12:15 PM,  No hay clases
1,     3,    Miércoles,     13:55 PM,  No hay clases
1,     3,    Viernes,       13:55 PM,  L.5,   Unidades fundamentales y derivadas,   Libro
1,     4,    Lunes,         12:15 PM,  A.9,   Unidades fundamentales, Plataforma
1,     4,    Lunes,         13:55 PM,  L.6,   Múltiplos y submúltiplos,   Libro
1,     4,    Martes,        12:15 PM,  A.10,  Múltiplos, Plataforma
1,     4,    Miércoles,     12:15 PM,  L.7,   Instrumentos de medición,   Libro
1,     4,    Miércoles,     13:55 PM,  A.11,  Es momento de medir, Plataforma
1,     4,    Viernes,       13:55 PM,  CTE,   CTE,  CTE
1,     5,    Lunes,         12:15 PM,  F.3,   Contaminantes del aire, Cuaderno de evidencias
1,     5,    Lunes,         13:55 PM,  L.8,   Materiales y sus propiedades,   Libro
1,     5,    Martes,        12:15 PM,  A.12,  Propiedades de la materia, Plataforma
1,     5,    Miércoles,     12:15 PM,  A.13,  ¿Qué es la materia?, Plataforma
1,     5,    Miércoles,     13:55 PM,  F.4,   Litio: el oro blanco del siglo XXI, Cuaderno de evidencias
1,     5,    Viernes,       13:55 PM,  F.5,   La isla de plástico, Cuaderno de evidencias
1,     6,    Lunes,         12:15 PM,  L.9,   Origen de las teorías sobre la estructura de la materia,   Libro
1,     6,    Lunes,         13:55 PM,  A.14,  Un modelo para la materia, Plataforma
1,     6,    Martes,        12:15 PM,  L.10,  La teoría atómica,   Libro
1,     6,    Miércoles,     12:15 PM,  A.15,  Construyendo un modelo para el átomo, Plataforma
1,     6,    Miércoles,     13:55 PM,  A.16,  ¿Thomson Rutherford o Bohr?, Plataforma
1,     6,    Viernes,       13:55 PM,  A.17,  La estructura interna de la materia, Plataforma
1,     7,    Lunes,         12:15 PM,  F.6,   Invierno nuclear, Cuaderno de evidencias
1,     7,    Lunes,         13:55 PM,  L.11,  Estados de agregación de la materia,   Libro
1,     7,    Martes,        12:15 PM,  A.18,  ¿Cómo se organiza la materia?, Plataforma
1,     7,    Miércoles,     12:15 PM,  A.19,  Las facetas de la materia, Plataforma
1,     7,    Miércoles,     13:55 PM,  A.20,  La materia, Plataforma
1,     7,    Viernes,       13:55 PM,  L.12,  Temperatura y equilibrio térmico,   Libro
1,     8,    Lunes,         12:15 PM,  A.21,  Conversaciones de temperatura, Plataforma
1,     8,    Lunes,         13:55 PM,  A.22,  ¿Cómo se mide la temperatura?, Plataforma
1,     8,    Martes,        12:15 PM,  ¿Qué aprendí?
1,     8,    Miércoles,     12:15 PM,  REPASO,REPASO,REPASO
1,     8,    Miércoles,     13:55 PM,  REPASO,REPASO,REPASO   
1,     8,    Viernes,       13:55 PM,  REPASO,REPASO,REPASO
1,     9,    Lunes,         12:15 PM,  REPASO,REPASO,REPASO   
1,     9,    Lunes,         13:55 PM,  REPASO,REPASO,REPASO
1,     9,    Martes,        12:15 PM,  REPASO,REPASO,REPASO
1,     9,    Miércoles,     12:15 PM,  REPASO,REPASO,REPASO
1,     9,    Miércoles,     13:55 PM,  REPASO,REPASO,REPASO
1,     9,    Viernes,       13:55 PM,  CTE,  CTE,  CTE
1,     10,   Lunes,         12:15 PM,  No hay clases
1,     10,   Lunes,         13:55 PM,  No hay clases
1,     10,   Martes,        12:15 PM,  REPASO,REPASO,REPASO
1,     10,   Miércoles,     12:15 PM,  REPASO,REPASO,REPASO
1,     10,   Viernes,       13:55 PM,  REPASO,REPASO,REPASO
1,     11,   Lunes,         12:15 PM,  EXAMEN,EXAMEN,EXAMEN
1,     11,   Lunes,         13:55 PM,  EXAMEN,EXAMEN,EXAMEN
1,     11,   Martes,        12:15 PM,  REVISIÓN DE EXAMEN
1,     11,   Miércoles,     12:15 PM,
1,     11,   Miércoles,     13:55 PM,
1,     11,   Viernes,       13:55 PM,
