Unit,  Week,Day,           Time, Key,     Activity,                                          Section
2, 13,   Lunes,         12:15 PM,        Me preparo
2, 13,   Lunes,         13:55 PM,
2, 13,   Martes,        12:15 PM,   L.1,  Movimiento
2, 13,   Miércoles,     12:15 PM,   L.1,  Movimiento
2, 13,   Miércoles,     13:55 PM,   L.1,  Movimiento
2, 13,   Viernes,       13:55 PM,   CTE,  CTE,  CTE
2, 14,   Lunes,         12:15 PM,   A.1,  ¿Trayectoria o desplazamiento?
2, 14,   Lunes,         13:55 PM,   A.2,  Cambios en el movimiento
2, 14,   Martes,        12:15 PM,   A.3,  ¡Qué onda!
2, 14,   Miércoles,     12:15 PM,   A.4,  ¿Cómo se mueven las ondas?
2, 14,   Miércoles,     13:55 PM,   F.7,  A ruidos necios oídos sordos
2, 14,   Viernes,       13:55 PM,   L.2,  Velocidad y rapidez
2, 15,   Lunes,         12:15 PM,   A.5,  ¿Quién fue el más rápido?
2, 15,   Lunes,         13:55 PM,   A.6,  Explicaciones gráficas de velocidad
2, 15,   Martes,        12:15 PM,   A.7,  ¿Cómo se describe el movimiento?
2, 15,   Miércoles,     12:15 PM,   A.8,  ¿Cómo se ven la velocidad y el reposo?
2, 15,   Miércoles,     13:55 PM,   A.9,  Propagación de ondas
2, 15,   Viernes,       13:55 PM,   F.8,  Alternativas del transporte urbano
2, 16,   Lunes,         12:15 PM,   L.3,  Movimiento acelerado
2, 16,   Lunes,         13:55 PM,   L.3,  Movimiento acelerado
2, 16,   Martes,        12:15 PM,   A.10, ¿Cuándo es rapidez y cuándo es velocidad?
2, 16,   Miércoles,     12:15 PM,   A.11, ¿Cómo cambia su rapidez?
2, 16,   Miércoles,     13:55 PM,   A.12, ¿Es aceleración o es velocidad?
2, 16,   Viernes,       13:55 PM,   A.13, ¿Se mueve o está quieto?
2, 19,   Lunes,         12:15 PM,   No hay clases
2, 19,   Lunes,         13:55 PM,   No hay clases
2, 19,   Martes,        12:15 PM,   No hay clases
2, 19,   Miércoles,     12:15 PM,   No hay clases
2, 19,   Miércoles,     13:55 PM,   No hay clases
